category,room_count,bathroom_count,size,type,price,city,region
Terrains et Fermes,,,,À Vendre,100000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,316000.0,Ariana,Autres villes
Appartements,2.0,1.0,80.0,À Louer,380.0,Ariana,Autres villes
Locations de vacances,1.0,1.0,90.0,À Louer,70.0,Ariana,Autres villes
Appartements,2.0,2.0,113.0,À Vendre,170000.0,Ariana,Ariana Ville
Locations de vacances,1.0,1.0,70.0,À Louer,80.0,Ariana,Autres villes
Appartements,2.0,1.0,100.0,À Louer,670.0,Ariana,Borj Louzir
"Magasins, Commerces et Locaux industriels",2.0,1.0,20.0,À Louer,650.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,180000.0,Ariana,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Louer,450.0,Ariana,Ariana Ville
Maisons et Villas,4.0,2.0,1208.0,À Vendre,700000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,600000.0,Ariana,La Soukra
Maisons et Villas,5.0,3.0,220.0,À Louer,2000.0,Ariana,Chotrana
Appartements,3.0,2.0,138.0,À Vendre,340000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,2.0,1.0,150.0,À Vendre,120000.0,Ariana,Raoued
Appartements,3.0,1.0,180.0,À Louer,300.0,Ariana,Borj Louzir
Appartements,3.0,1.0,250.0,À Louer,500.0,Ariana,Ariana Ville
Terrains et Fermes,,,,À Vendre,350000.0,Ariana,
Appartements,2.0,1.0,80.0,À Vendre,230000.0,Ariana,Ennasr
"Magasins, Commerces et Locaux industriels",1.0,1.0,20.0,À Vendre,55000.0,Ariana,Borj Louzir
Appartements,2.0,1.0,80.0,À Louer,400.0,Ariana,Ghazela
Appartements,4.0,2.0,200.0,À Vendre,440000.0,Ariana,Ennasr
Maisons et Villas,4.0,2.0,130.0,À Vendre,125000.0,Ariana,Autres villes
Maisons et Villas,2.0,1.0,150.0,À Vendre,170000.0,Ariana,Ghazela
Appartements,4.0,1.0,160.0,À Vendre,310000.0,Ariana,Autres villes
Appartements,2.0,1.0,89.0,À Vendre,136000.0,Ariana,Borj Louzir
Appartements,2.0,1.0,94.0,À Vendre,185000.0,Ariana,La Soukra
Appartements,1.0,1.0,79.0,À Vendre,146150.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,420000.0,Ariana,La Soukra
Maisons et Villas,6.0,4.0,1200.0,À Vendre,1150000.0,Ariana,La Soukra
Maisons et Villas,4.0,2.0,320.0,À Vendre,265000.0,Ariana,Ghazela
Maisons et Villas,3.0,1.0,130.0,À Louer,1250.0,Ariana,Ennasr
Appartements,3.0,1.0,157.0,À Vendre,340000.0,Ariana,Ennasr
"Magasins, Commerces et Locaux industriels",1.0,1.0,330.0,À Vendre,1550000.0,Ariana,La Soukra
Maisons et Villas,3.0,2.0,220.0,À Vendre,490000.0,Ariana,Ennasr
Appartements,2.0,1.0,105.0,À Vendre,225000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,180000.0,Ariana,Autres villes
Maisons et Villas,5.0,2.0,400.0,À Vendre,620000.0,Ariana,Chotrana
"Magasins, Commerces et Locaux industriels",1.0,1.0,65.0,À Louer,4000.0,Ariana,Jardins D'el Menzah
Appartements,3.0,1.0,130.0,À Vendre,320000.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,90000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,558000.0,Ariana,La Soukra
Appartements,1.0,1.0,90.0,À Louer,175.0,Ariana,Ghazela
"Magasins, Commerces et Locaux industriels",2.0,2.0,430.0,À Louer,3500.0,Ariana,La Soukra
Appartements,2.0,1.0,75.0,À Louer,475.0,Ariana,Raoued
Maisons et Villas,5.0,2.0,500.0,À Louer,1000.0,Ariana,Autres villes
Appartements,2.0,1.0,80.0,À Louer,90.0,Ariana,Ennasr
Maisons et Villas,5.0,2.0,450.0,À Louer,2500.0,Ariana,Autres villes
Maisons et Villas,4.0,2.0,180.0,À Vendre,750000.0,Ariana,La Soukra
Maisons et Villas,5.0,3.0,265.0,À Vendre,470000.0,Ariana,La Soukra
"Magasins, Commerces et Locaux industriels",4.0,1.0,120.0,À Louer,120.0,Ariana,Autres villes
Appartements,2.0,1.0,100.0,À Louer,1000.0,Ariana,Ennasr
Appartements,2.0,1.0,80.0,À Louer,420.0,Ariana,Ghazela
Appartements,2.0,1.0,120.0,À Vendre,270000.0,Ariana,Ennasr
"Magasins, Commerces et Locaux industriels",1.0,2.0,220.0,À Louer,1000.0,Ariana,La Soukra
Appartements,3.0,2.0,100.0,À Vendre,170000.0,Ariana,Borj Louzir
Appartements,2.0,1.0,74.0,À Vendre,180000.0,Ariana,Ennasr
Appartements,2.0,1.0,90.0,À Vendre,205000.0,Ariana,Ariana
Appartements,1.0,2.0,110.0,À Louer,1200.0,Ariana,Autres villes
Appartements,3.0,1.0,160.0,À Louer,1200.0,Ariana,Ennasr
Maisons et Villas,2.0,1.0,120.0,À Louer,330.0,Ariana,Raoued
Appartements,3.0,2.0,151.0,À Vendre,225000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,5.0,3.0,1000.0,À Vendre,1000000.0,Ariana,La Soukra
Appartements,4.0,2.0,145.0,À Vendre,410000.0,Ariana,Ennasr
Appartements,4.0,1.0,126.0,À Vendre,250000.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,110000.0,Ariana,Autres villes
Appartements,2.0,1.0,75.0,À Louer,90.0,Ariana,Autres villes
Appartements,3.0,2.0,160.0,À Louer,1360.0,Ariana,La Soukra
Appartements,2.0,1.0,108.0,À Louer,90.0,Ariana,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,1.0,100.0,À Louer,1800.0,Ariana,Ariana Ville
Maisons et Villas,3.0,1.0,130.0,À Louer,1200.0,Ariana,Jardins D'el Menzah
Maisons et Villas,1.0,1.0,150.0,À Vendre,68000.0,Ariana,Chotrana
Maisons et Villas,5.0,1.0,1000.0,À Vendre,400000.0,Ariana,
"Magasins, Commerces et Locaux industriels",1.0,1.0,30.0,À Vendre,10000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,1.0,1.0,244.0,À Vendre,88000.0,Ariana,Raoued
Appartements,2.0,1.0,68.0,À Louer,700.0,Ariana,Ariana Ville
Maisons et Villas,3.0,1.0,125.0,À Vendre,140000.0,Ariana,Raoued
Appartements,4.0,2.0,230.0,À Louer,1800.0,Ariana,La Soukra
Appartements,2.0,1.0,100.0,À Louer,490.0,Ariana,Ghazela
Maisons et Villas,6.0,2.0,130.0,À Vendre,210000.0,Ariana,Ariana
Appartements,1.0,1.0,64.0,À Vendre,155000.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,120000.0,Ariana,Raoued
Appartements,3.0,2.0,110.0,À Louer,1000.0,Ariana,Ariana
Colocations,2.0,1.0,75.0,À Louer,130.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,55000000.0,Ariana,Raoued
Maisons et Villas,3.0,1.0,200.0,À Vendre,90000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,550000.0,Ariana,Ariana
Locations de vacances,1.0,1.0,50.0,À Louer,85.0,Ariana,Ennasr
Appartements,2.0,1.0,105.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,1.0,1.0,138.0,À Vendre,80000.0,Ariana,Raoued
